Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Piezo Speaker,
"C1, C2, C3, C4",CP_Radial_D6.3mm_P2.50mm,4,10ÂµF,
"D1, D2, D3",D_A-405_P7.62mm_Horizontal,3,D,
"D4, D5, D6, D7",LED_D3.0mm,4,LED,
J1,TerminalBlock_bornier-2_P5.08mm,1,Screw_Terminal_01x02,
J2,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Female,
J3,PinHeader_1x11_P2.54mm_Vertical,1,Conn_01x11,
J5,PinHeader_1x16_P2.54mm_Vertical,1,Conn_01x16_Female,
"R1, R4, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,10K,
"R10, R11, R12, R14, R15, R16, R2, R3, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,10,7.2K,
"R13, R17, R18",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,4.7K,
R19,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1K,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,200K,
R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,100,
RV1,Potentiometer_ACP_CA9-V10_Vertical,1,10K,
"SW1, SW2",SW_PUSH_6mm,2,SW_Push,
"U1, U2",DIP-14_W7.62mm,2,74LS08,
"U10, U11, U12",DIP-24_W15.24mm,3,DS8212D,
U3,DIP-14_W7.62mm,1,74HC04,
U4,DIP-28_W15.24mm,1,6507,
U5,DIP-16_W7.62mm,1,74LS163,
U6,DIP-8_W7.62mm,1,LM358,
U7,DIP-16_W7.62mm,1,SN76489,
U8,DIP-24_W15.24mm,1,MCM6810,
U9,DIP-28_W15.24mm,1,28C256,
X1,Oscillator_DIP-14,1,ACO-16.0MHz,
